spygen_code,label,prediction,residual,domain_true,domain_pred,domain_correct
SPY211052,0,0,0,0,10,0
SPY211053,0,0,0,2,10,0
SPY211057,0,0,0,2,10,0
SPY211058,0,0,0,0,10,0
SPY212584,0,0,0,6,10,0
SPY212585,0,0,0,6,2,0
SPY212586,0,0,0,6,10,0
SPY212587,0,0,0,6,10,0
SPY201153,0,0,0,7,10,0
SPY201162,0,0,0,7,10,0
SPY211299,0,0,0,7,10,0
SPY211303,0,0,0,7,10,0
SPY212588,0,0,0,0,10,0
SPY212589,0,0,0,0,10,0
SPY211068,0,0,0,2,10,0
SPY211073,0,0,0,2,10,0
SPY181699,1,0,1,6,10,0
SPY192310,1,0,1,6,10,0
SPY201163,1,0,1,6,10,0
SPY211048,1,0,1,2,10,0
SPY211062,1,0,1,2,10,0
SPY211138,1,0,1,8,10,0
SPY211163,1,0,1,6,10,0
SPY211168,1,0,1,6,10,0
SPY211169,1,0,1,6,10,0
SPY211170,1,0,1,6,10,0
SPY211172,1,0,1,6,10,0
SPY211173,1,0,1,6,10,0
SPY211174,1,0,1,6,10,0
SPY211177,1,0,1,6,10,0
SPY211178,1,0,1,6,10,0
SPY211180,1,0,1,6,10,0
SPY211181,1,0,1,6,10,0
SPY211182,1,0,1,6,10,0
SPY211183,1,0,1,6,10,0
SPY211184,1,0,1,6,10,0
SPY212710,1,0,1,6,10,0
SPY212711,1,0,1,6,10,0
SPY212712,1,1,0,6,10,0
SPY212713,1,0,1,6,10,0
SPY212714,1,0,1,6,10,0
SPY212715,1,0,1,6,10,0
SPY212716,1,0,1,6,10,0
SPY212717,1,0,1,6,10,0
SPY212718,1,0,1,6,10,0
SPY212719,1,0,1,6,10,0
SPY212756,1,0,1,6,10,0
SPY212758,1,0,1,6,10,0
SPY212759,1,0,1,6,10,0
SPY211049,1,0,1,0,10,0
SPY211050,1,0,1,0,2,0
SPY211054,1,0,1,2,10,0
SPY211055,1,0,1,2,10,0
SPY231679,1,2,-1,10,10,1
SPY231680,1,1,0,10,10,1
SPY231675,1,1,0,10,10,1
SPY231676,1,1,0,10,10,1
SPY231677,1,1,0,10,10,1
SPY231678,1,1,0,10,10,1
SPY211056,2,2,0,0,10,0
SPY211064,2,2,0,0,10,0
SPY231681,2,2,0,10,10,1
SPY231682,2,2,0,10,10,1
SPY231671,2,2,0,10,10,1
SPY231672,2,2,0,10,10,1
SPY231673,2,2,0,10,10,1
SPY231674,2,2,0,10,10,1
SPY211059,4,4,0,2,10,0
SPY211060,4,4,0,2,10,0
SPY201952,4,4,0,6,10,0
SPY201962,4,4,0,6,10,0
SPY210649,4,4,0,3,10,0
SPY212768,4,4,0,3,10,0
SPY200468,4,4,0,6,10,0
SPY200474,4,4,0,6,10,0
SPY201953,4,4,0,3,10,0
SPY201961,4,4,0,6,10,0
SPY210637,4,4,0,6,10,0
SPY210654,4,4,0,3,10,0
SPY212760,4,4,0,6,10,0
SPY212762,4,4,0,3,10,0
SPY212763,4,4,0,3,10,0
SPY212764,4,4,0,3,10,0
SPY212765,4,4,0,6,10,0
SPY212766,4,4,0,3,10,0
SPY212767,4,4,0,6,10,0
SPY212769,4,4,0,6,10,0
